connector,model,reasoning_requested,structured_output_mode,samples,sample_ids,baseline,run_002,run_003,historical_stability_class,repeat_stability_class,provider_success,parser_pass,baseline_failure_recovered_run_002,baseline_failure_recovered_either_repeat
opencode,opencode-go/omen-alpha,high,NONE,3,"[""opencode/opencode-go-omen-alpha/high/run-001"",""opencode/opencode-go-omen-alpha/high/run-002"",""opencode/opencode-go-omen-alpha/high/run-003""]",SUCCESS|TRUNCATED|FAIL,SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,MIXED,MIXED,3,1,false,true
opencode,opencode-go/omen-alpha,low,NONE,3,"[""opencode/opencode-go-omen-alpha/low/run-001"",""opencode/opencode-go-omen-alpha/low/run-002"",""opencode/opencode-go-omen-alpha/low/run-003""]",SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|TRUNCATED|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,MIXED,MIXED,3,1,false,true
opencode,opencode-go/qwen3.6-plus,default,NONE,3,"[""opencode/opencode-go-qwen3.6-plus/default/run-001"",""opencode/opencode-go-qwen3.6-plus/default/run-002"",""opencode/opencode-go-qwen3.6-plus/default/run-003""]",SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,REPRODUCED_3_OF_3,REPRODUCED_3_OF_3,3,3,false,false
opencode,opencode-go/qwen3.7-max,default,NONE,3,"[""opencode/opencode-go-qwen3.7-max/default/run-001"",""opencode/opencode-go-qwen3.7-max/default/run-002"",""opencode/opencode-go-qwen3.7-max/default/run-003""]",SUCCESS|UNKNOWN|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
api/openrouter,anthropic/claude-haiku-4.5,high,NONE,3,"[""api/openrouter/anthropic-claude-haiku-4.5/high/run-001"",""api/openrouter/anthropic-claude-haiku-4.5/high/run-002"",""api/openrouter/anthropic-claude-haiku-4.5/high/run-003""]",SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,REPRODUCED_3_OF_3,REPRODUCED_3_OF_3,3,3,false,false
api/openrouter,anthropic/claude-haiku-4.5,low,NONE,3,"[""api/openrouter/anthropic-claude-haiku-4.5/low/run-001"",""api/openrouter/anthropic-claude-haiku-4.5/low/run-002"",""api/openrouter/anthropic-claude-haiku-4.5/low/run-003""]",SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,REPRODUCED_3_OF_3,REPRODUCED_3_OF_3,3,3,false,false
api/openrouter,anthropic/claude-opus-5,high,NONE,3,"[""api/openrouter/anthropic-claude-opus-5/high/run-001"",""api/openrouter/anthropic-claude-opus-5/high/run-002"",""api/openrouter/anthropic-claude-opus-5/high/run-003""]",ERROR|EMPTY|NOT_ATTEMPTED,ERROR|EMPTY|NOT_ATTEMPTED,ERROR|EMPTY|NOT_ATTEMPTED,PROVIDER_BLOCKED,PROVIDER_BLOCKED,0,0,false,false
api/openrouter,anthropic/claude-opus-5,low,NONE,3,"[""api/openrouter/anthropic-claude-opus-5/low/run-001"",""api/openrouter/anthropic-claude-opus-5/low/run-002"",""api/openrouter/anthropic-claude-opus-5/low/run-003""]",ERROR|EMPTY|NOT_ATTEMPTED,ERROR|EMPTY|NOT_ATTEMPTED,ERROR|EMPTY|NOT_ATTEMPTED,PROVIDER_BLOCKED,PROVIDER_BLOCKED,0,0,false,false
api/openrouter,google/gemma-4-31b-it,high,NONE,3,"[""api/openrouter/google-gemma-4-31b-it/high/run-001"",""api/openrouter/google-gemma-4-31b-it/high/run-002"",""api/openrouter/google-gemma-4-31b-it/high/run-003""]",SUCCESS|TRUNCATED|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
api/openrouter,openai/gpt-oss-120b,low,NONE,3,"[""api/openrouter/openai-gpt-oss-120b/low/run-001"",""api/openrouter/openai-gpt-oss-120b/low/run-002"",""api/openrouter/openai-gpt-oss-120b/low/run-003""]",SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
api/openrouter,z-ai/glm-5.3,low,NONE,3,"[""api/openrouter/z-ai-glm-5.3/low/run-001"",""api/openrouter/z-ai-glm-5.3/low/run-002"",""api/openrouter/z-ai-glm-5.3/low/run-003""]",SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
api/openrouter,z-ai/glm-5.3-flash,high,NONE,3,"[""api/openrouter/z-ai-glm-5.3-flash/high/run-001"",""api/openrouter/z-ai-glm-5.3-flash/high/run-002"",""api/openrouter/z-ai-glm-5.3-flash/high/run-003""]",SUCCESS|TRUNCATED|FAIL,SUCCESS|TRUNCATED|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,1,false,true
api/openrouter,z-ai/glm-5.3-flash,low,NONE,3,"[""api/openrouter/z-ai-glm-5.3-flash/low/run-001"",""api/openrouter/z-ai-glm-5.3-flash/low/run-002"",""api/openrouter/z-ai-glm-5.3-flash/low/run-003""]",ERROR|EMPTY|NOT_ATTEMPTED,SUCCESS|TRUNCATED|FAIL,SUCCESS|TRUNCATED|FAIL,REPRODUCED_2_OF_3,REPRODUCED_2_OF_3,2,0,false,false
